aX,aY,aZ,gX,gY,gZ
-0.247,-1.052,1.263,-17.700,-18.250,17.700
-0.325,-1.330,1.253,-23.621,-25.208,14.160
-0.354,-1.608,1.225,-25.452,-20.020,11.414
-0.253,-1.819,1.286,-25.940,-0.244,15.198
-0.415,-2.035,1.317,-25.513,11.169,16.602
-0.488,-2.144,1.380,-24.475,19.226,6.958
-0.504,-2.178,1.404,-21.851,22.217,-10.864
-0.465,-2.120,1.372,-14.954,16.541,-31.433
-0.456,-1.983,1.281,-4.456,12.573,-48.706
-0.542,-1.827,1.180,9.888,15.198,-64.758
-0.604,-1.644,1.099,26.978,16.907,-85.327
-0.688,-1.408,1.010,41.382,16.174,-109.436
-0.749,-1.099,0.947,50.232,13.916,-136.353
-0.733,-0.680,0.837,52.551,7.141,-162.598
-0.629,-0.303,0.713,55.115,7.507,-188.354
-0.594,-0.121,0.679,59.204,8.362,-201.843
-0.540,0.263,0.699,69.946,-0.061,-231.934
-0.470,0.610,0.775,74.036,-25.940,-261.230
-0.536,0.919,0.751,63.416,-74.158,-281.006
-0.683,1.200,0.628,38.696,-131.348,-286.987
-0.802,1.450,0.413,3.357,-174.622,-275.208
-0.767,1.678,0.195,-29.968,-181.824,-246.338
-0.794,1.794,-0.002,-45.044,-155.212,-210.205
-0.533,1.811,-0.031,-36.682,-102.722,-180.237
-0.239,1.759,0.121,-15.442,-41.443,-152.649
0.015,1.639,0.377,5.188,4.211,-130.859
0.179,1.501,0.612,15.686,18.372,-115.417
0.254,1.380,0.743,13.611,10.010,-105.347
0.264,1.279,0.773,3.357,-6.592,-98.389
0.226,1.222,0.769,-7.263,-19.775,-91.980
0.208,1.195,0.767,-12.756,-26.184,-84.290
0.184,1.155,0.787,-11.780,-26.855,-73.608
0.167,1.112,0.828,-6.104,-23.315,-61.584
0.170,1.057,0.851,-0.244,-18.799,-48.462
0.153,0.995,0.865,4.333,-15.808,-33.630
0.133,0.931,0.859,7.996,-10.376,-19.226
0.135,0.867,0.852,12.085,-2.869,-6.714
0.138,0.794,0.855,16.663,3.906,3.967
0.138,0.719,0.870,20.020,9.644,13.184
0.144,0.661,0.887,21.301,14.038,20.874
0.144,0.612,0.889,22.095,15.625,27.344
0.138,0.557,0.909,23.132,15.381,33.203
0.130,0.528,0.928,24.658,15.503,38.269
0.123,0.481,0.930,26.855,14.648,41.443
0.115,0.440,0.961,28.076,12.512,44.922
0.104,0.386,0.967,26.917,5.554,46.997
0.097,0.348,0.960,23.437,-0.061,48.645
0.069,0.315,0.947,18.738,-6.165,49.927
0.041,0.309,0.923,13.306,-10.803,50.903
0.021,0.306,0.865,11.719,-7.507,53.589
-0.014,0.260,0.902,13.794,-5.005,52.673
0.033,0.226,0.932,11.719,-4.150,50.476
0.057,0.229,0.928,7.690,0.122,52.124
0.046,0.208,0.953,5.615,-1.282,55.664
0.029,0.185,0.964,4.150,-3.967,57.739
0.036,0.162,0.973,2.991,-3.967,57.739
0.047,0.154,0.998,1.160,-6.958,57.129
0.051,0.142,0.985,-0.671,-11.047,56.152
0.051,0.136,0.973,-2.014,-12.390,55.481
0.042,0.133,0.963,-3.418,-11.841,55.176
0.036,0.133,0.967,-5.371,-8.911,54.504
0.053,0.138,0.972,-6.592,-5.188,53.406
0.066,0.130,0.979,-6.287,-4.150,52.307
0.060,0.125,0.986,-5.310,-4.272,51.392
0.058,0.126,0.975,-4.639,-4.150,50.354
0.052,0.118,0.947,-3.784,-1.465,49.622
0.038,0.113,0.926,-2.869,1.892,49.622
0.040,0.112,0.934,-2.625,5.615,50.964
0.048,0.103,0.932,-3.296,7.874,52.063
0.060,0.089,0.934,-3.418,9.766,52.551
0.068,0.077,0.963,-2.930,10.437,52.795
0.073,0.064,0.984,-3.052,9.094,52.551
0.080,0.045,0.979,-3.113,6.592,51.575
0.082,0.037,0.963,-2.991,3.418,50.476
0.083,0.034,0.956,-2.380,0.610,48.401
0.089,0.033,0.946,-1.892,-1.099,46.448
0.104,0.037,0.922,-1.160,-2.441,45.044
0.112,0.046,0.908,-0.977,-3.662,45.715
0.117,0.034,0.917,-1.831,-4.089,47.058
0.121,0.021,0.917,-2.991,-5.493,47.485
0.122,0.013,0.922,-3.479,-7.385,46.814
0.123,-0.002,0.917,-3.235,-8.484,45.105
0.120,-0.012,0.914,-2.380,-8.484,42.419
0.112,-0.021,0.905,-1.221,-8.972,39.307
0.106,-0.015,0.896,0.183,-8.423,36.316
0.108,0.002,0.901,2.197,-6.714,33.691
0.121,0.021,0.894,4.578,-5.737,32.410
0.125,0.034,0.887,6.531,-4.883,33.875
0.117,0.036,0.891,6.958,-4.028,37.964
0.106,0.018,0.887,5.615,-3.174,41.992
0.105,0.010,0.880,4.272,-1.709,44.678
0.109,0.003,0.863,4.456,1.587,45.776
0.116,0.007,0.860,6.226,5.371,45.593
0.126,0.014,0.865,8.179,8.667,44.983
0.134,0.018,0.872,9.705,11.169,44.128
0.136,0.020,0.863,10.315,11.963,43.823
0.136,0.018,0.869,9.949,12.207,44.861
0.122,0.019,0.861,8.301,12.268,46.448
0.099,0.024,0.839,6.287,14.282,48.401
0.082,0.019,0.834,6.165,19.592,50.293
0.078,0.018,0.850,7.690,26.978,51.147
0.089,0.014,0.883,9.766,33.081,49.927
0.098,0.005,0.920,11.292,35.339,47.546
0.114,-0.014,0.963,11.414,32.227,44.189
0.122,-0.041,0.997,8.545,24.414,39.673
0.117,-0.048,0.996,2.625,13.245,34.302
0.113,-0.031,0.975,-3.967,1.892,29.541
0.109,-0.020,0.958,-10.376,-7.568,26.306
0.093,-0.010,0.954,-15.991,-16.052,24.414
0.072,-0.000,0.951,-20.630,-21.790,23.437
0.064,0.025,0.943,-23.315,-25.208,23.132
0.060,0.048,0.920,-22.827,-24.719,24.109
0.053,0.049,0.909,-18.982,-19.287,25.696
0.053,0.040,0.918,-13.855,-11.902,26.550
0.060,0.022,0.931,-9.155,-4.944,26.672
0.068,0.012,0.943,-5.737,0.916,26.733
0.079,-0.003,0.950,-3.845,3.906,26.001
0.087,-0.013,0.962,-3.967,4.822,25.269
0.098,-0.020,0.966,-5.859,3.479,24.109
0.102,-0.015,0.956,-8.545,0.671,23.132
0.104,-0.010,0.948,-10.742,-2.258,22.339
0.102,-0.013,0.929,-12.268,-4.578,21.179
0.100,-0.015,0.913,-12.512,-5.188,19.653
0.089,-0.014,0.897,-11.780,-3.662,18.494
0.082,-0.008,0.883,-10.315,0.427,17.761
0.089,-0.007,0.888,-8.362,5.432,17.517
0.097,-0.005,0.909,-6.287,8.667,17.883
0.100,-0.010,0.914,-4.333,9.827,18.005
0.099,-0.019,0.923,-2.930,9.949,17.212
0.100,-0.027,0.921,-2.747,10.803,15.869
0.095,-0.028,0.922,-2.869,13.245,14.099
0.102,-0.029,0.949,-3.479,14.465,12.329
0.114,-0.040,0.968,-4.944,12.756,11.597
0.113,-0.031,0.986,-7.568,8.606,12.268
0.114,-0.010,1.003,-12.329,2.747,12.695
0.105,-0.038,0.992,-19.531,-1.343,13.062
0.124,-0.041,0.931,-19.409,-11.047,14.282
0.110,-0.034,0.940,-16.785,-16.296,14.648
0.098,-0.040,0.949,-16.479,-17.578,14.771
0.102,-0.037,0.932,-16.174,-17.151,15.076
0.099,-0.054,0.928,-15.625,-15.686,15.808
0.088,-0.054,0.921,-14.709,-12.695,16.846
0.090,-0.064,0.924,-12.573,-9.033,16.846
0.097,-0.082,0.926,-10.742,-5.066,16.602
0.093,-0.073,0.932,-7.446,1.282,17.273
0.089,-0.077,0.939,-4.089,5.066,17.090
0.096,-0.087,0.927,-0.793,6.531,16.235
0.099,-0.100,0.934,1.038,8.179,15.686
0.100,-0.104,0.937,1.160,8.606,15.320
0.096,-0.110,0.938,0.000,7.568,14.709
0.106,-0.116,0.951,-1.831,5.188,13.428
0.113,-0.121,0.961,-4.150,1.648,12.268
0.108,-0.119,0.957,-6.409,-1.160,11.414
0.113,-0.115,0.938,-7.812,-2.441,10.132
0.115,-0.108,0.933,-7.263,-1.831,8.789
0.113,-0.102,0.941,-6.165,-1.526,7.568
0.112,-0.091,0.942,-4.822,-0.183,6.653
0.115,-0.083,0.941,-2.930,0.916,5.920
0.110,-0.087,0.937,-1.404,1.953,5.310
0.106,-0.080,0.941,-0.671,3.479,4.700
0.109,-0.075,0.949,-0.977,3.784,4.150
0.113,-0.061,0.959,-1.343,3.174,4.028
0.109,-0.058,0.965,-1.953,1.587,3.784
0.105,-0.052,0.963,-2.319,-0.305,3.113
0.099,-0.044,0.961,-2.991,-0.793,2.319
0.091,-0.043,0.958,-3.540,0.122,1.709
0.088,-0.039,0.956,-4.150,1.343,1.099
0.088,-0.023,0.953,-4.333,2.075,0.732
0.089,-0.014,0.945,-3.601,3.479,0.977
0.085,-0.008,0.942,-2.136,5.188,1.465
0.079,-0.009,0.939,0.061,7.568,1.709
0.075,-0.014,0.929,2.197,10.742,1.465
0.075,-0.017,0.923,4.456,13.123,1.343
0.069,-0.020,0.920,6.592,15.564,1.404
0.067,-0.022,0.914,8.057,17.273,1.587
0.065,-0.015,0.907,8.911,17.517,1.648
0.057,-0.010,0.899,9.460,17.090,1.892
0.047,-0.006,0.889,10.010,16.846,2.136
0.042,-0.003,0.876,10.254,17.090,2.136
0.037,0.006,0.863,10.559,17.883,2.014
0.038,0.011,0.865,11.108,18.738,2.136
0.045,0.016,0.876,10.620,17.822,2.869
0.047,0.015,0.892,8.972,14.404,4.395
0.052,0.015,0.908,6.287,9.766,6.226
0.054,0.014,0.900,3.662,5.981,7.690
0.055,0.021,0.896,2.258,2.808,8.728
0.062,0.027,0.893,2.380,0.244,9.155
0.065,0.022,0.891,3.601,-1.038,9.216
0.071,0.021,0.896,5.615,-0.244,8.850
0.069,0.017,0.904,7.751,0.244,8.301
0.067,0.003,0.913,9.338,0.305,6.958
0.070,-0.005,0.910,10.315,0.244,4.333
0.072,-0.006,0.922,10.437,-0.610,1.709
0.074,-0.003,0.930,8.606,-1.953,0.061
0.075,0.007,0.942,5.615,-4.456,-0.061
0.071,0.011,0.937,2.991,-7.324,1.526
0.064,0.008,0.933,1.770,-9.888,3.113
0.054,0.003,0.927,1.343,-10.376,4.211
0.055,-0.002,0.923,1.160,-8.179,4.822
0.062,-0.002,0.925,1.648,-4.761,5.005
0.067,-0.008,0.934,2.808,-0.916,5.249
0.076,-0.006,0.949,3.601,2.319,5.432
0.083,-0.010,0.962,4.089,4.761,5.615
0.079,-0.012,0.974,4.578,5.920,5.371
0.080,-0.021,0.979,4.822,6.592,4.456
0.080,-0.024,0.992,4.089,6.775,3.662
0.083,-0.021,1.007,2.441,5.005,3.174
0.088,-0.016,1.016,0.305,1.770,3.357
0.083,-0.011,1.003,-1.404,-1.831,3.479
0.071,-0.008,0.982,-1.404,-2.930,2.991
0.063,-0.002,0.963,-0.061,-1.709,2.197
0.059,0.003,0.955,1.526,1.099,1.221
0.057,0.011,0.954,2.869,4.395,0.610
0.056,0.016,0.961,3.784,5.859,0.366
0.051,0.017,0.970,3.662,5.981,0.061
0.045,0.020,0.970,2.930,5.981,-0.671
0.042,0.032,0.972,2.380,4.517,-1.465
0.038,0.043,0.969,1.892,1.892,-1.831
0.029,0.048,0.959,1.587,0.610,-1.892
0.024,0.063,0.947,1.770,-0.061,-1.831
0.018,0.076,0.935,2.563,0.061,-1.099
0.014,0.079,0.926,3.601,1.404,0.244
0.014,0.081,0.940,4.395,2.380,1.160
0.017,0.080,0.931,4.761,3.357,1.465
0.018,0.080,0.925,5.615,5.310,1.709
0.024,0.080,0.926,5.676,5.676,1.953
0.031,0.085,0.934,5.188,4.517,2.991
0.037,0.084,0.935,4.211,2.197,4.272
0.030,0.072,0.924,3.052,-0.244,5.554
0.026,0.060,0.915,2.075,-1.648,6.042
0.031,0.059,0.912,1.404,-2.258,6.287
0.040,0.062,0.910,0.916,-2.747,6.775
0.042,0.062,0.907,1.160,-2.808,8.057
0.040,0.054,0.905,1.709,-2.075,9.033
0.042,0.044,0.903,2.319,-0.916,9.644
0.045,0.043,0.903,2.441,-0.244,9.766
0.046,0.039,0.907,2.380,0.610,10.010
0.057,0.035,0.916,1.709,0.916,9.949
0.062,0.034,0.924,0.549,0.183,10.010
0.062,0.026,0.935,-0.610,-1.648,10.315
0.062,0.018,0.937,-1.770,-3.723,9.949
0.064,0.023,0.935,-2.625,-5.249,9.949
0.062,0.020,0.932,-2.991,-5.554,9.827
0.061,0.015,0.939,-3.174,-5.249,9.583
