aX,aY,aZ,gX,gY,gZ
0.008,-0.202,2.393,-100.098,21.423,27.405
0.050,-0.300,2.886,-113.586,10.864,20.142
0.091,-0.416,3.438,-125.488,-14.160,4.761
0.076,-0.500,3.816,-133.850,-55.847,-18.250
0.011,-0.508,3.943,-126.282,-97.473,-47.791
-0.077,-0.431,3.949,-98.755,-122.925,-76.172
-0.131,-0.266,3.804,-55.908,-131.409,-92.346
-0.210,-0.140,3.442,0.061,-134.399,-92.957
-0.314,-0.121,2.976,60.852,-124.634,-86.670
-0.333,-0.171,2.517,114.197,-104.187,-80.261
-0.330,-0.266,2.138,150.635,-94.055,-75.806
-0.319,-0.368,1.680,166.077,-101.501,-76.843
-0.364,-0.440,1.181,168.518,-114.258,-82.581
-0.403,-0.454,0.703,164.734,-117.798,-92.712
-0.425,-0.433,0.229,164.917,-112.610,-102.112
-0.449,-0.437,-0.225,167.786,-97.717,-108.032
-0.468,-0.443,-0.577,166.199,-75.012,-110.229
-0.416,-0.275,-0.646,154.907,-58.411,-105.103
-0.389,-0.148,-0.714,146.667,-60.364,-94.910
-0.446,-0.069,-1.094,137.817,-73.181,-66.162
-0.479,-0.096,-1.444,144.653,-53.223,-45.349
-0.359,-0.150,-1.425,150.635,-9.155,-30.823
-0.214,-0.212,-1.300,138.855,13.428,-22.156
-0.140,-0.248,-1.251,116.882,7.874,-24.231
-0.118,-0.203,-1.245,91.003,-6.897,-33.997
-0.091,-0.079,-1.197,65.186,-21.851,-42.725
-0.104,0.047,-1.172,39.551,-38.513,-43.884
-0.093,0.150,-1.159,16.418,-46.570,-37.354
-0.062,0.217,-1.099,-1.892,-40.833,-24.048
0.014,0.222,-0.937,-17.700,-26.001,-5.798
0.093,0.160,-0.720,-32.959,-11.963,12.817
0.180,0.074,-0.521,-47.424,0.732,27.588
0.252,-0.010,-0.279,-58.899,15.259,35.645
0.322,-0.049,-0.002,-67.810,22.095,35.828
0.354,-0.056,0.226,-76.111,18.433,31.189
0.350,-0.018,0.399,-83.252,7.019,23.865
0.285,0.031,0.502,-87.158,-8.057,18.372
